scenario_index,scenario_id,family,switch_day,method_c_objective,two_stage_gurobi_objective,method_c_prefix_oracle_objective,clairvoyant_gurobi_objective,static_no_replan_objective,prefix_advantage_absolute,prefix_advantage_percent,adaptation_gap_absolute,adaptation_gap_percent,final_advantage_absolute,final_advantage_percent,clairvoyant_gap_percent,two_stage_replanning_gain_percent,method_c_beats_two_stage,method_c_prefix_beats_static_gurobi_prefix,two_stage_proven_optimal,method_c_prefix_oracle_proven_optimal,clairvoyant_proven_optimal,two_stage_runtime_seconds,method_c_prefix_oracle_runtime_seconds,clairvoyant_runtime_seconds,R_retrain_objective,R_retrain_final_advantage_absolute,R_retrain_final_advantage_percent,R_retrain_beats_two_stage,R_retrain_online_training_seconds,R_retrain_inference_runtime_seconds
46,test_046_id_suppress_only,suppress_only,13,14379.281159862168,14688.579989696302,14665.012989696306,14871.376500000002,14427.900148707085,-23.56699999999546,-0.16044437254334432,285.7318298341379,1.9483912495331177,-309.29882983413336,-2.1057095379614594,3.309010031034005,1.8067760263268549,False,False,True,True,True,3.049943100020755,3.3159576000180095,10.589530700002797,,,,,,
47,test_047_id_concentrated,concentrated,8,20271.22657285452,20802.88087785083,20879.939205432835,21638.148161956386,18546.075751526594,77.05832758200631,0.37042142400599715,608.7126325783138,2.915298874145814,-531.6543049963075,-2.5556763417434585,6.317183794430015,12.168639644095428,False,True,True,True,True,4.656794800015632,5.415893499972299,10.65624659997411,,,,,,
48,test_048_id_distributed,distributed,4,16696.833887462955,17215.36237576411,16878.203686995257,17406.26723605586,16471.549969320993,-337.1586887688536,-1.9584756998406703,181.36979953230184,1.0745799902394129,-518.5284883011554,-3.0120103020958937,4.075735130179802,4.515740217699621,False,False,True,True,True,7.8495280999923125,9.072696099989116,9.10822419996839,,,,,,
49,test_049_id_no_shock,no_shock,7,15483.1185,15555.198750000001,15539.406750000002,15555.198750000001,15555.198750000001,-15.791999999999462,-0.10152232866841036,56.288250000001426,0.36222907930511195,-72.08025000000089,-0.4633836645770976,0.4633836645770976,0.0,False,False,True,True,True,8.097597199957818,8.16720639995765,11.042993200011551,,,,,,
50,test_050_id_mixed,mixed,8,15176.48082788285,15793.203232861313,15943.077959439963,16232.274848589512,14684.489863197092,149.87472657864964,0.9489824475050226,766.5971315571132,4.808338349140468,-616.7224049784636,-3.9049861885854407,6.504288712178901,7.550234158579298,False,True,True,True,True,5.154693399963435,5.208751900005154,13.5267923999927,,,,,,
51,test_051_id_boost_only,boost_only,9,15556.284853589295,15609.76520883641,15569.109208836413,15609.76520883641,15587.269924687365,-40.65599999999722,-0.26045234797626926,12.824355247117637,0.08237051378532972,-53.48035524711486,-0.342608325824405,0.342608325824405,0.14431830755311745,False,False,True,True,True,6.014362300047651,6.293165599985514,13.704823799955193,,,,,,
52,test_052_id_suppress_only,suppress_only,19,14909.45905046419,15037.268359931732,15009.407797834476,15107.369092251329,15035.579643716897,-27.86056209725575,-0.1852767499414517,99.94874737028658,0.6659073343633649,-127.80930946754233,-0.8499503128380864,1.3100232117096349,0.011231467325171033,False,False,True,True,True,1.4090561000048183,1.614547900040634,12.19790260004811,,,,,,
53,test_053_id_concentrated,concentrated,9,20022.034496685526,20346.18743990955,20346.28343990955,20380.595439909554,17111.282990579333,0.09600000000136788,0.0004718328693515401,324.2489432240254,1.5936519521201895,-324.15294322402406,-1.5931876386245711,1.7593251594695232,18.905095842966325,False,True,True,True,True,5.463374399987515,3.853461100021377,9.816042400023434,,,,,,
54,test_054_id_distributed,distributed,8,14421.009127791773,14570.039421868521,14599.712327565181,14667.842466597998,14223.132983813877,29.672905696659654,0.20365700350901508,178.70319977340841,1.2240186365590606,-149.03029407674876,-1.0228544327276536,1.6828196741839916,2.4390297021720078,False,True,True,True,True,5.805997000017669,8.615201500011608,11.296972099982668,14515.202933105089,-54.8364887634325,-0.37636472473181576,False,36.368599607000306,1.1555998499998168
55,test_055_id_no_shock,no_shock,20,15472.606500000002,15555.198750000001,15497.505250000002,15555.198750000001,15555.198750000001,-57.6934999999994,-0.3708952931250679,24.89875000000029,0.16066295573605494,-82.5922499999997,-0.5309623575205021,0.5309623575205021,0.0,False,False,True,True,True,1.2141041999566369,1.23013759998139,11.070750100014266,,,,,,
