scenario_index,scenario_id,family,switch_day,method,objective,runtime_seconds
75,test_075_ood_rank_flip,ood_rank_flip,16,C_rich_generalist_e2e_best_of_64,15769.32787155947,0.9570116659997439
76,test_076_ood_extreme_single_boost,ood_extreme_single_boost,22,B_frozen_static_greedy,15476.166500000003,0.051872014999844396
76,test_076_ood_extreme_single_boost,ood_extreme_single_boost,22,D_frozen_static_best_of_64,15476.166500000003,1.4192842530001144
76,test_076_ood_extreme_single_boost,ood_extreme_single_boost,22,C_rich_generalist_e2e_best_of_64,16091.515224994208,0.8162107640000613
77,test_077_ood_top_reward_collapse,ood_top_reward_collapse,20,B_frozen_static_greedy,10739.684396304248,0.05923301199982234
77,test_077_ood_top_reward_collapse,ood_top_reward_collapse,20,D_frozen_static_best_of_64,10805.118986016001,1.4304699059998711
77,test_077_ood_top_reward_collapse,ood_top_reward_collapse,20,C_rich_generalist_e2e_best_of_64,12203.184750000002,0.8302509489999466
78,test_078_ood_high_cost_boost,ood_high_cost_boost,7,B_frozen_static_greedy,22174.303840822868,0.1132389070003228
78,test_078_ood_high_cost_boost,ood_high_cost_boost,7,D_frozen_static_best_of_64,22251.45369158432,1.7048447870001837
78,test_078_ood_high_cost_boost,ood_high_cost_boost,7,C_rich_generalist_e2e_best_of_64,23975.176407709696,1.1356540310002856
79,test_079_ood_budget_reallocation,ood_budget_reallocation,24,B_frozen_static_greedy,14114.922661373028,0.05212088199959908
79,test_079_ood_budget_reallocation,ood_budget_reallocation,24,D_frozen_static_best_of_64,14114.922661373028,1.3400873470000079
79,test_079_ood_budget_reallocation,ood_budget_reallocation,24,C_rich_generalist_e2e_best_of_64,15893.470281597401,0.7805194699999447
80,test_080_ood_rank_flip,ood_rank_flip,21,B_frozen_static_greedy,12569.360612954852,0.059030129999882774
80,test_080_ood_rank_flip,ood_rank_flip,21,D_frozen_static_best_of_64,12569.360612954852,1.381464774000051
